janariteguia	abaceria	abaceria	abaceria
jaquiteguia	abaceria	abaceria	abaceria
arrandeguia	abaceria	abaceria2	abaceria
anariteguiaren zaya	abacero	abacero	abacero
zaina	abacero	abacero	abacero
zaitzallea	abacero	abacero	abacero
araquiñá	abacero	abacero2	abacero
aratepallea	abacero	abacero2	abacero
andre monjen aguintaria	abadesa	abadesa	abadesa
lenena	abadesa	abadesa	abadesa
Aſbadeſa	abadesa	abadesa	abadesa
Adbadeſeá	abadesa	abadesa	abadesa
badiá	abadia	abadia	abadìa
abadearen barruatia	abadia	abadia2	abadìa
aberé adár bacocha	abada	abada	abada
bacallaoá	abadejo	abadejo	abadejo
pecha	abadejo	abadejo2	abadejo
aſnaſé ematea	abahar	abahar2	abahar
hatſeman	abahar	abahar2	abahar
atſedatu	abahar	abahar2	abahar
zopá itoac	abahadas sopas	abahadas sopas	abahadas sopas
eltzea	abahadas sopas	abahadas sopas	abahadas sopas
edó catilluá eſtali	abahadas sopas	abahadas sopas	abahadas sopas
taeguiten diranac	abahadas sopas	abahadas sopas	abahadas sopas
beraá	abalado	abalado	abalado
biguña	abalado	abalado	abalado
arroa	abalado	abalado	abalado
aſtindua	abalado	abalado	abalado
artaldea larrerá , bazcátzera	aballar	aballar	aballar
játera eráman	aballar	aballar	aballar
eróan	aballar	aballar	aballar
erachi	aballar por	aballar por	aballar por
jachierazo	aballar por	aballar por	aballar por
erautſi	aballar por	aballar por	aballar por
egotzi	abalanzarse	abalanzarse	abalanzarse
ſartu	abalanzarse	abalanzarse	abalanzarse
beirá nauarrezcó aléac	abalorio	abalorio	abalorio
banderaduná	abanderado	abanderado	abanderado
banderatua	abanderado	abanderado	abanderado
gaizqui	abanderizarse	abanderizarse	abanderizarse
ta etſairó ballerátzea	abanderizarse	abanderizarse	abanderizarse
etſairó balleratuac	abanderizados	abanderizados	abanderizados
vtzi	abandonar	abandonar	abandonar
lajatu	abandonar	abandonar	abandonar
largatu	abandonar	abandonar	abandonar
vtzia	abandonado	abandonado	abandonado
vtzieguia	abandonado	abandonado2	abandonado
utziera	abandono	abandono	abandono
lajaera	abandono	abandono	abandono
lagaera	abandono	abandono	abandono
aizatu	abanicarse	abanicarse	abanicarse
aizatzea	abanicarse	abanicarse	abanicarse
aitzequiña	abanico	abanico	abanico
aizeguillea	abanico	abanico	abanico
aizeemallea	abanico	abanico	abanico
abaninoa	abanino	abanino	abanino
merquetú	abaratar	abaratar	abaratar
merqué ifini	abaratar	abaratar	abaratar
merquetueguia	abaratado demasiadamente	abaratado demasiadamente	abaratado demasiadamente
merqiegui ifinia	abaratado demasiadamente	abaratado demasiadamente	abaratado demasiadamente
abarcac	abarcas	abarcas	abarcas
abarcatu	abarcar	abarcar2	abarcar
gauz aſcó eguitea	abarcar	abarcar2	abarcar
artzea	abarcar	abarcar2	abarcar
echoletan	abarracarse	abarracarse	abarracarse
chaoletan ſartu	abarracarse	abarracarse	abarracarse
abéreac lur epaqui zulodúnetan ſártzea	abarrancarse el ganado	abarrancarse el ganado	abarrancarse el ganado
