testu_hitza	hitz_egokitua	lemma	mlv_lexeme	aingura	token_zbk	testuingurua-ezker	testu-hitza	eskuin-testuingurua
abarraquituac	abarrakituak	abarrakitu	https://monumenta.wikibase.cloud/wiki/Lexeme:L233	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1782	... : batzuec lauridiquituac , besteac beren ezur gucietan	abarraquituac	, ceatuac , zatituac ; eta ecin conta ...
aberasten	aberasten	aberaste	https://monumenta.wikibase.cloud/wiki/Lexeme:L326	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1286	... , ta gaiztaquerian bicitua baliz bezala : guciac	aberasten	cituena , iltze gogorrez lapur biren artean zur ...
aberats	aberats	aberats	https://monumenta.wikibase.cloud/wiki/Lexeme:L329	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#9	1129	... Beste gurasoac zor eztie beren semeai ,	aberats	, eder , sendo , osasun onecoac izatea ...
abere	abere	abere	https://monumenta.wikibase.cloud/wiki/Lexeme:L335	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1352	... gucietan isuria , ta borrero latzen oñazpietan ,	abere	batena baliz bezala . Miia gueldi ta isil ...
abere	abere	abere	https://monumenta.wikibase.cloud/wiki/Lexeme:L335	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#19	3731	... . Juduac izango dira orreec , deabruac ,	abere	basotiarrac . Ez Eleiza santea , eztira Juduac ...
abereac	abereak	abere	https://monumenta.wikibase.cloud/wiki/Lexeme:L335	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#19	3745	... : eztira demonioac , arenac bai ; eztira	abereac	, bai aec baño latz gogorragoac . ...
aberé	abere	abere	https://monumenta.wikibase.cloud/wiki/Lexeme:L335	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#19	3665	... ez leuqueana ? ez lizateque guizona , bai	aberé	, bai zembor , bai arcaitzen bat . ...
abner	abner	aba	https://monumenta.wikibase.cloud/wiki/Lexeme:L155	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3766	... . Quendu cigon bicia Joab capitanac modu gaistoz	Abner	ceritzan bati : ta ara non bereala Israel ...
abner	abner	aba	https://monumenta.wikibase.cloud/wiki/Lexeme:L155	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3860	... Erregueac berac lagundu ta jarraitu nai izandu cituen	Abner	zanaren catauac , edo illoea ...
abnerren	abnerren	aba	https://monumenta.wikibase.cloud/wiki/Lexeme:L155	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3826	... , janci citezela cilicioz , eta ceguitela negar	Abnerren	honretan ...
acaba	akaba			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1438	... ? eta il bear ceuanean , ecin bestela	acaba	citequean neure erreyetaco seme bacarra ? Ay neure ...
acabera	akabera	akabera	https://monumenta.wikibase.cloud/wiki/Lexeme:L1712	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1416	... ! nola ifiñi zaituzten Adanen humeac ! onelaco	acabera	bear ceuen asiera aiñ ederrac ? pagu au ...
aci	azi	azi	https://monumenta.wikibase.cloud/wiki/Lexeme:L8411	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	2993	... Andre hori da zeure ama , aiñ ondo	aci	cinduena , ain gozo bere bularrez bazcatu cinduena ...
ad	ad			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#22	4469	... artean graciaz , ta guero ceruan gloriaz .	Ad	quam nos perducat eu ...
adanen	adanen	adan	https://monumenta.wikibase.cloud/wiki/Lexeme:L566	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	121	... beteric , infernuraño jachia cegoan , artan guendela	Adanen	hume guztioc . Etzan guizonen artean lurrean , ...
adanen	adanen	adan	https://monumenta.wikibase.cloud/wiki/Lexeme:L566	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#3	197	... , balanza au escuetan deuala ; icusi daguigun	Adanen	humeac , nolaco Justicia eguiten dan , ez ...
adanen	adanen	adan	https://monumenta.wikibase.cloud/wiki/Lexeme:L566	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1413	... , nere biciaren bicia ! nola ifiñi zaituzten	Adanen	humeac ! onelaco acabera bear ceuen asiera aiñ ...
adanen	adanen	adan	https://monumenta.wikibase.cloud/wiki/Lexeme:L566	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#22	4225	... eta non da gueure lotsea ? ô gueu	Adanen	ondorengoen artean esquer gaistoco humeac ! gueure escuan ...
adi	adi	adi	https://monumenta.wikibase.cloud/wiki/Lexeme:L651	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	2904	... bada alaco seme batec escari chiqui hori .	Adi	daguigun , cer eranzuten digon ...
adiaca	adiaka	adiaka	https://monumenta.wikibase.cloud/wiki/Lexeme:L655	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3873	... : ta obian gorputza sártzeracoan ,	adiaca	ta deadarrez asi ta negar aundiac eguin cituan ...
adierazotzea	adierazotzea	adiera	https://monumenta.wikibase.cloud/wiki/Lexeme:L668	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#21	4053	... diarduzute . Eta cer da au , ezpada	adierazotzea	, atseguiñ dezuela Christo gure Jauna illic icustea ...
adierazotzen	adierazotzen	adiera	https://monumenta.wikibase.cloud/wiki/Lexeme:L668	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	330	... da alde batetic ezti , gozoa , ta	adierazotzen	digu Jaungoicoaren ama bere aunditasun , ta doaiñ ...
adierazotzen	adierazotzen	adiera	https://monumenta.wikibase.cloud/wiki/Lexeme:L668	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	344	... : bestetic da miñ , garratza , ta	adierazotzen	diauzcu Virgiñaren doloreac , cergatic aimbat da ...
adierazotzen	adierazotzen	adiera	https://monumenta.wikibase.cloud/wiki/Lexeme:L668	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#18	1558	... oriec ? Begui oyec beste gauza ascoren artean	adierazotzen	digute Jaungoicoarequico izan oi dan amodio bicia eta ...
adinaren	adinaren	adina	https://monumenta.wikibase.cloud/wiki/Lexeme:L727	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1254	... izandu cion amac , icusi ceuan illic bere	adinaren	lorean , illic se- meric gaitzbagueena , pecatuaren ...
adisquide	adiskide	adiskide	https://monumenta.wikibase.cloud/wiki/Lexeme:L756	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	314	... are bere echápean , ez semê , ez	adisquide	biotz onéz nai dioníc : ta argátican daude ...
adisquide	adiskide	adiskide	https://monumenta.wikibase.cloud/wiki/Lexeme:L756	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#14	2342	... iñor ere Virgiña consola daguiqueanic , are bere	adisquide	, bere aide , bere maite gucietatic , ...
aditu	aditu	aditu	https://monumenta.wikibase.cloud/wiki/Lexeme:L776	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	703	... ? ay ene ! arestian bere semea ez	aditu	nairic cegoan , ta nola adituco nau ni ...
aditu	aditu	aditu	https://monumenta.wikibase.cloud/wiki/Lexeme:L776	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1736	... Gogora ditzagun , iñon edo ,	aditu	, edo iracurri ditugun Martyreen tormentuac : ceiñ ...
aditu	aditu	aditu	https://monumenta.wikibase.cloud/wiki/Lexeme:L776	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	2924	... . Oi eta amaren errayac , alaco eranzuera	aditu	ceueenac ! ô bone Jesu , erruquiz ta ...
aditu	aditu	aditu	https://monumenta.wikibase.cloud/wiki/Lexeme:L776	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#18	1325	...  	Aditu	dezute nolacoa eta ceiñ andia dan San Agustiñ-en ...
aditu	aditu	aditu	https://monumenta.wikibase.cloud/wiki/Lexeme:L776	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#19	1777	... argatic gogoratu zaizca alaco itzac , arteraño munduan	aditu	etciranac ; ez eta obeagoric adituco ere , ...
adituco	adituko	aditu	https://monumenta.wikibase.cloud/wiki/Lexeme:L776	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#6	350	... eguzquiaren jayet-aldêan diradén hizquerac daquitzán batec , erráz	adituco	duelá Eusquéraz ; ta guezurcho batequín horí sinistérazo ...
adituco	adituko	aditu	https://monumenta.wikibase.cloud/wiki/Lexeme:L776	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#6	708	... semea ez aditu nairic cegoan , ta nola	adituco	nau ni ? Joango ote natzaca gurutzean dagoan ...
adituco	adituko	aditu	https://monumenta.wikibase.cloud/wiki/Lexeme:L776	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#19	1782	... arteraño munduan aditu etciranac ; ez eta obeagoric	adituco	ere , viziago , gozoago , eta amorezco ...
aditzen	aditzen	aditze	https://monumenta.wikibase.cloud/wiki/Lexeme:L786	https://eu.wikisource.org/wiki/Hiztegi_Hirukoitzeko_hitzaurreko_testuak#5	184	... Uste deu guré urliac (	aditzen	názue , norí nagocán , beguíra , ez ...
aditzen	aditzen	aditze	https://monumenta.wikibase.cloud/wiki/Lexeme:L786	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#4	300	... euangelioan . Berriz ez bide dira ondo elcar	aditzen	Virgiñaren icena , ta Virgiñaren doloreac , eta ...
adiunetic	adiunetik	adiune	https://monumenta.wikibase.cloud/wiki/Lexeme:L790	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#2	200	... dala munduan argui bat guziequicoa eta guzieracoa gueren	adiunetic	campora , argui utsa , ceñi argui utsaren ...
adiuntza	adiuntza	adiuntza	https://monumenta.wikibase.cloud/wiki/Lexeme:L791	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#21	3977	... ene christauac , cer juicio zuezaz eguin aldaguiquet	adiuntza	onetan ? Icusten dezue , Virgiña doloreen gueieguiaz ...
adiña	adina	adina	https://monumenta.wikibase.cloud/wiki/Lexeme:L727	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3844	... 3 . ) . Baña etzan hori asco	adiña	, cebillen guezurra , ta otsa deseguiteco : ...
aec	aek			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1744	... edo iracurri ditugun Martyreen tormentuac : ceiñ aundiac	aec	, ceiñ gogorrac , ceiñ izugarriac ! batzuec ...
aec	aek			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3249	... , cigon Virgiñac ? ausaz eguiten deue araco	aec	, ta aec , urte guztian beren gustuai ...
aec	aek			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3251	... ? ausaz eguiten deue araco aec , ta	aec	, urte guztian beren gustuai darraiztenac , beren ...
aec	aek			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#17	3328	... lizun liquitsaquin ? Cein dira oec , ta	aec	? Eztaquit nic : eztaquiola nai Jaincoari Eleiz ...
aec	aek			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#19	3747	... , arenac bai ; eztira abereac , bai	aec	baño latz gogorragoac ...
aec	aek			https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3936	... beste damu aundi , ta eguiazco baten señale	aec	, orduan conturatu zan gende gucia , ta ...
aen	aen	aen	https://monumenta.wikibase.cloud/wiki/Lexeme:L889	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1851	... Virgiñaren doloreen anzic , ecer ez bat dirade	aen	aldean . Eztiot guezurric , ezpada santuac esaten ...
aen	aen	aen	https://monumenta.wikibase.cloud/wiki/Lexeme:L889	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#12	1923	... daudenac . Zoazte Mairuetara , Juduetara , ta	aen	biotz itsusietan sar zaitezte : baña ez arren ...
agertzen	ajertzen	aje	https://monumenta.wikibase.cloud/wiki/Lexeme:L1693	https://eu.wikisource.org/wiki/San_Agustin_Eguneko_Sermoia#9	795	... . Noiz da bat batetan	agertzen	dan munduan San Agustiñ-en arguia , aiñ bici ...
aguertu	agertu	agertu	https://monumenta.wikibase.cloud/wiki/Lexeme:L1016	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#5	451	... cideen , zeu ciñala araco ceruan beiñ batean	aguertu	zan señale aundia , izarrez burua , illarguiaz ...
aguindu	agindu	agindu	https://monumenta.wikibase.cloud/wiki/Lexeme:L1045	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#10	1272	... gurutzearen ondoan , gazteric ederren arc bicia justiciac	aguindu	ta galtzen ceuala : gucien onguille hura gaitzguillea ...
aguindu	agindu	agindu	https://monumenta.wikibase.cloud/wiki/Lexeme:L1045	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3789	... , eriotz hura eguin zala , Erregue Dauidec	aguindu	ta berac naizeuala . Eta cer eguin ceuan ...
aguindu	agindu	agindu	https://monumenta.wikibase.cloud/wiki/Lexeme:L1045	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3806	... bere burua ondo ateratzeagatic ? Bein danic bein	aguindu	ceuan , mundu guciac urratu ceguiela soñecoa , ...
aguindu	agindu	agindu	https://monumenta.wikibase.cloud/wiki/Lexeme:L1045	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3918	... berrian , gende guztiac sinistatu ceuan , Erregueac	aguindu	ta eguin zala : baña icusi cituanean Erreguearen ...
aguindu	agindu	agindu	https://monumenta.wikibase.cloud/wiki/Lexeme:L1045	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#20	3947	... gucia , ta ezagutu ceuan , etzeuala erregueac	aguindu	, alaco guizonari bicia quentzea ...
aguintaria	agintaria	agintari	https://monumenta.wikibase.cloud/wiki/Lexeme:L1066	https://eu.wikisource.org/wiki/Azkoitiko_Sermoia#9	1187	... , aingueruac baño gorago jasoa , ceruarequin lurraren	aguintaria	, ta erreguiña , ta beste gucien gañean ...
