wikibase_lexeme	wikibase_statement	lila_id	wikidata_lexeme
L86985	L86985-0B909162-234E-4803-BF6C-8720EE665B2C	lemma/90942	L1047262
L86987	L86987-5505423C-052C-452F-A670-D7CEF035925D	hypolemma/65	L254556
L86988	L86988-105702CF-DC2D-4551-9668-54021CBE3BAE	lemma/86829	L254559
L86989	L86989-E210D0D5-6951-43F1-8191-E38ACC50FB05	lemma/86839	L254562
L86990	L86990-94582D89-60B1-417D-AAB5-E29A681884BF	lemma/86840	L254564
L86991	L86991-4AF5B1E6-2041-41E3-9F52-FE2DECDF3C4B	lemma/86851	L254572
L86992	L86992-1E4EF399-13A7-4083-B8E0-19DB035E8568	lemma/86852	L254573
L86994	L86994-3FFD2BD2-55E6-4016-945D-80663E75ACE5	lemma/86857	L254586
L86997	L86997-77D59742-8398-4B8B-BDDA-04BEC6E43364	lemma/86865	L254597
L86999	L86999-4200D674-974E-47A5-BCCD-30710039371B	hypolemma/30	L254596
L87000	L87000-F458FE54-0178-4C93-A59B-4E14FB62CBD8	lemma/86865	L254597
L87001	L87001-B69899DC-8438-4A75-9B49-6C3C6DFED892	lemma/86866	L254598
L87002	L87002-AD648FD5-C169-4FCF-A556-B75D4CC1FA5C	lemma/86867	L254599
L87003	L87003-C61DDEDE-9955-46CB-A005-161B7F847C14	lemma/86895	L1033664
L87004	L87004-1A997BC7-2882-4917-80BB-291328A856E9	lemma/86873	L254608
L87005	L87005-177A51F9-0086-44CF-B60D-FC92A33F57B3	lemma/86874	L254609
L87006	L87006-471432A2-5168-4797-AAFE-C9EB00B4BF1C	lemma/86876	L254612
L87007	L87007-A3F839D7-246D-4806-B763-56FEF6B6CA0F	lemma/86873	L254608
L87008	L87008-D40A8084-09D6-4A2E-9595-EC41E5AFF24A	lemma/86879	L254617
L87009	L87009-70EF3229-9F9B-4254-A200-D25B63A9EA13	lemma/86880	L254618
L87012	L87012-342C9176-4DE0-47A4-97EA-DA72A71CFCF6	lemma/86885	L254641
L87013	L87013-93EA71EF-4AB6-45E4-84B0-837C82E5F01F	hypolemma/54	L254643
L87019	L87019-3CB12167-3EDB-46CF-8453-CC4875CD385B	lemma/91167	L254639
L87020	L87020-C564EB9C-C38E-41FD-ADA7-3EC85C3B6B9C	lemma/86899	L254646
L87021	L87021-4DC8ABC9-D059-447F-B1B3-69E8A3FC2472	lemma/86901	L254648
L87022	L87022-43F81F1F-6D3B-4FCD-802E-BBFD77EAF316	lemma/86905	L254651
L87024	L87024-3749228F-E31A-4CD3-BBE8-103147F2599C	lemma/86916	L254663
L87026	L87026-C50C69FF-403F-43C6-BECD-B86A09915D1E	lemma/86924	L254668
L87027	L87027-FED3F95A-75F3-4785-A6BD-2271386D9777	lemma/91082	L254669
L87028	L87028-6862DCF9-EA4A-46E2-ACF0-876BE1E22404	lemma/86934	L254678
L87029	L87029-BBB7C38E-33E1-4EF6-89DE-611654B5FFB8	lemma/86940	L254683
L87030	L87030-C0E74F26-B876-4072-91D9-A1DA022AB84A	lemma/86946	L254687
L87031	L87031-84D8C063-2FD1-4A3A-8140-187D31EC6856	lemma/86951	L254692
L87032	L87032-8CF3A132-FBE4-4B73-8809-397096C1140B	lemma/88756	L254693
L87034	L87034-3B4D7E53-21C6-4C08-85F0-4D8F44421F36	lemma/86952	L254694
L87035	L87035-90A76830-D5E2-4B12-8E6A-3FE88F1FDC6C	lemma/86957	L254704
L87037	L87037-AE8F9338-F7E9-4DA5-ABBA-58A6480EE9D1	lemma/86965	L254718
L87038	L87038-B1EFE5D4-661A-437F-8948-73F8A9B45CF4	lemma/86971	L254721
L87040	L87040-CC8D0C40-EF74-4308-BFB8-8F3CBD8914C0	lemma/86978	L254725
L87041	L87041-EB5EF546-47D4-44E6-B009-1D1EE7FF9085	lemma/86979	L254727
L87042	L87042-CC924FD7-92D7-4D65-987D-3F7FF322E4D2	lemma/86981	L254729
L87043	L87043-7A293210-B7D1-4353-8C98-D578E0CD83E5	lemma/86979	L254727
L87045	L87045-66304EBA-8E81-4A5A-816F-DBE74E3AA5DE	lemma/86983	L254733
L87046	L87046-FDDDA3CA-5561-4E5F-B705-39B10046668E	lemma/86983	L254733
L87047	L87047-8E3C082E-C6BE-4BC6-9848-C92304676958	hypolemma/177	L254737
